filename,status,issues,width,height,mode,file_size_bytes,brightness_mean,contrast
0001.png,OK,nenhum,3385,1793,L,562149,233.35,55.03
0002.png,OK,nenhum,3385,1793,L,479479,234.58,53.31
0003.png,OK,nenhum,3385,1793,L,579688,232.31,56.56
0004.png,OK,nenhum,3385,1793,L,579688,232.31,56.56
0005.png,OK,nenhum,3385,1793,L,585396,232.97,55.64
0006.png,OK,nenhum,3385,1793,L,463611,235.07,52.58
0007.png,OK,nenhum,3385,1793,L,453611,235.13,52.47
0008.png,OK,nenhum,3385,1793,L,495907,234.61,53.23
0009.png,OK,nenhum,3385,1793,L,491691,234.64,53.2
0010.png,OK,nenhum,3385,1793,L,623499,232.01,56.97
0011.png,OK,nenhum,3385,1793,L,520024,234.69,53.08
0012.png,OK,nenhum,3385,1793,L,487873,234.94,52.72
0013.png,OK,nenhum,3385,1793,L,525686,234.29,53.64
0014.png,OK,nenhum,3385,1793,L,536409,234.08,54.0
0015.png,OK,nenhum,3385,1793,L,530187,233.96,54.16
0016.png,OK,nenhum,3385,1793,L,530639,234.05,54.09
0017.png,OK,nenhum,3385,1793,L,516600,234.05,54.09
0018.png,OK,nenhum,3385,1793,L,514992,234.32,53.67
0019.png,OK,nenhum,3385,1793,L,464027,234.85,52.88
0020.png,OK,nenhum,3385,1793,L,512185,234.23,53.78
0021.png,OK,nenhum,3385,1793,L,440243,234.94,52.72
0022.png,OK,nenhum,3385,1793,L,492259,234.56,53.32
0023.png,OK,nenhum,3385,1793,L,492259,234.56,53.32
0024.png,OK,nenhum,3385,1793,L,560485,233.5,54.82
0025.png,OK,nenhum,3385,1793,L,581533,233.3,55.09
0026.png,OK,nenhum,3385,1793,L,530487,234.09,54.07
0027.png,OK,nenhum,3385,1793,L,555671,233.66,54.62
0028.png,OK,nenhum,3385,1793,L,518413,234.15,53.85
0029.png,OK,nenhum,3385,1793,L,555671,233.66,54.62
0030.png,OK,nenhum,3385,1793,L,555671,233.66,54.62
0031.png,OK,nenhum,3385,1793,L,584840,233.0,55.58
0032.png,OK,nenhum,3385,1793,L,476331,234.84,52.86
0033.png,OK,nenhum,3385,1793,L,470513,234.95,52.73
0034.png,OK,nenhum,3385,1793,L,473633,235.01,52.62
0035.png,OK,nenhum,3385,1793,L,483532,234.76,52.99
0036.png,OK,nenhum,3385,1793,L,448872,235.12,52.45
0037.png,OK,nenhum,3385,1793,L,475302,234.86,52.85
0038.png,OK,nenhum,3385,1793,L,475302,234.86,52.85
0039.png,OK,nenhum,3385,1793,L,582562,232.75,55.94
0040.png,OK,nenhum,3385,1793,L,618230,231.99,57.1
0041.png,OK,nenhum,3385,1793,L,615709,232.25,56.64
0042.png,OK,nenhum,3385,1793,L,426679,235.15,52.44
0043.png,OK,nenhum,3385,1793,L,532693,234.03,54.07
0044.png,OK,nenhum,3385,1793,L,617634,232.84,55.82
0045.png,OK,nenhum,3385,1793,L,561332,233.5,54.83
0046.png,OK,nenhum,3385,1793,L,481674,234.63,53.25
0047.png,OK,nenhum,3385,1793,L,463259,234.76,53.04
0048.png,OK,nenhum,3385,1793,L,575319,233.07,55.65
0049.png,OK,nenhum,3385,1793,L,541082,233.86,54.37
0050.png,OK,nenhum,3385,1793,L,541082,233.86,54.37
0051.png,OK,nenhum,3385,1793,L,434588,234.87,52.84
0052.png,OK,nenhum,3385,1793,L,416425,235.22,52.32
0053.png,OK,nenhum,3385,1793,L,416425,235.22,52.32
0054.png,OK,nenhum,3385,1793,L,416425,235.22,52.32
0055.png,OK,nenhum,3385,1793,L,444832,234.86,52.87
0056.png,OK,nenhum,3385,1793,L,516478,234.18,53.85
0057.png,OK,nenhum,3385,1793,L,478676,234.38,53.57
0058.png,OK,nenhum,3385,1793,L,478676,234.38,53.57
0059.png,OK,nenhum,3385,1793,L,527781,234.28,53.73
0060.png,OK,nenhum,3385,1793,L,531313,234.11,53.99
0061.png,OK,nenhum,3385,1793,L,586453,232.69,55.98
0062.png,OK,nenhum,3385,1793,L,587504,232.83,55.78
0063.png,OK,nenhum,3385,1793,L,518660,233.52,54.75
0064.png,OK,nenhum,3385,1793,L,518660,233.52,54.75
0065.png,OK,nenhum,3385,1793,L,484673,234.68,53.14
0066.png,OK,nenhum,3385,1793,L,718308,230.6,58.87
0067.png,OK,nenhum,3385,1793,L,718308,230.6,58.87
0068.png,OK,nenhum,3385,1793,L,574132,233.48,54.84
0069.png,OK,nenhum,3385,1793,L,452626,234.86,52.89
0070.png,OK,nenhum,3385,1793,L,486372,234.36,53.62
0071.png,OK,nenhum,3385,1793,L,421028,235.35,52.13
0072.png,OK,nenhum,3385,1793,L,451902,235.04,52.66
0073.png,OK,nenhum,3385,1793,L,467793,234.8,52.97
0074.png,OK,nenhum,3385,1793,L,505286,234.63,53.22
0075.png,OK,nenhum,3385,1793,L,515442,234.42,53.52
0076.png,OK,nenhum,3385,1793,L,709027,229.82,59.94
0077.png,OK,nenhum,3385,1793,L,495004,233.89,54.39
0078.png,OK,nenhum,3385,1793,L,620749,232.11,56.93
0079.png,OK,nenhum,3385,1793,L,505314,233.75,54.62
0080.png,OK,nenhum,3385,1793,L,540035,234.06,54.07
0081.png,OK,nenhum,3385,1793,L,488713,234.76,53.0
0082.png,OK,nenhum,3385,1793,L,488713,234.76,53.0
0083.png,OK,nenhum,3385,1793,L,490316,234.75,53.0
0084.png,OK,nenhum,3385,1793,L,503775,234.71,53.06
0085.png,OK,nenhum,3385,1793,L,478926,234.93,52.76
0086.png,OK,nenhum,3385,1793,L,482420,234.89,52.81
0087.png,OK,nenhum,3385,1793,L,524796,234.01,54.06
0088.png,OK,nenhum,3385,1793,L,515180,234.49,53.42
0089.png,OK,nenhum,3385,1793,L,593383,233.35,55.01
0090.png,OK,nenhum,3385,1793,L,467411,234.41,53.55
0091.png,OK,nenhum,3385,1793,L,611041,232.79,55.85
0092.png,OK,nenhum,3385,1793,L,511961,233.66,54.66
0093.png,OK,nenhum,3385,1793,L,421917,235.35,52.13
0094.png,OK,nenhum,3385,1793,L,457368,235.23,52.29
0095.png,OK,nenhum,3385,1793,L,454231,234.98,52.7
0096.png,OK,nenhum,3385,1793,L,488244,234.38,53.59
0097.png,OK,nenhum,3385,1793,L,488244,234.38,53.59
0098.png,OK,nenhum,3385,1793,L,545127,233.81,54.43
0099.png,OK,nenhum,3385,1793,L,555742,233.45,54.95
0100.png,OK,nenhum,3385,1793,L,555742,233.45,54.95
0101.png,OK,nenhum,3385,1793,L,481744,234.45,53.45
0102.png,OK,nenhum,3385,1793,L,474608,234.65,53.14
0103.png,OK,nenhum,3385,1793,L,520714,234.15,53.89
0104.png,OK,nenhum,3385,1793,L,529130,234.13,53.98
0105.png,OK,nenhum,3385,1793,L,502071,233.79,54.45
0106.png,OK,nenhum,3385,1793,L,502071,233.79,54.45
0107.png,OK,nenhum,3385,1793,L,445663,234.45,53.54
0108.png,OK,nenhum,3385,1793,L,445663,234.45,53.54
0109.png,OK,nenhum,3385,1793,L,491031,234.76,53.04
0110.png,OK,nenhum,3385,1793,L,491031,234.76,53.04
0111.png,OK,nenhum,3385,1793,L,478417,234.84,52.94
0112.png,OK,nenhum,3385,1793,L,536978,234.03,54.07
0113.png,OK,nenhum,3385,1793,L,490121,234.74,53.03
0114.png,OK,nenhum,3385,1793,L,484606,234.68,53.17
0115.png,OK,nenhum,3385,1793,L,509618,234.47,53.49
0116.png,OK,nenhum,3385,1793,L,544778,233.34,55.15
0117.png,OK,nenhum,3385,1793,L,648589,231.91,57.1
0118.png,OK,nenhum,3385,1793,L,596314,232.46,56.37
0119.png,OK,nenhum,3385,1793,L,716558,230.64,58.69
0120.png,OK,nenhum,3385,1793,L,654056,231.4,57.85
0121.png,OK,nenhum,3385,1793,L,607269,232.66,56.06
0122.png,OK,nenhum,3385,1793,L,620359,232.31,56.49
0123.png,OK,nenhum,3385,1793,L,529912,234.27,53.77
0124.png,OK,nenhum,3385,1793,L,491129,234.47,53.52
0125.png,OK,nenhum,3385,1793,L,506002,234.17,53.9
0126.png,OK,nenhum,3385,1793,L,506002,234.17,53.9
0127.png,OK,nenhum,3385,1793,L,462669,234.29,53.75
0128.png,OK,nenhum,3385,1793,L,432704,234.98,52.72
0129.png,OK,nenhum,3385,1793,L,512155,234.49,53.44
0130.png,OK,nenhum,3385,1793,L,496992,234.59,53.25
0131.png,OK,nenhum,3385,1793,L,664653,231.74,57.31
0132.png,OK,nenhum,3385,1793,L,478446,234.85,52.87
0133.png,OK,nenhum,3385,1793,L,431474,235.12,52.49
0134.png,OK,nenhum,3385,1793,L,504024,234.39,53.71
0135.png,OK,nenhum,3385,1793,L,483363,234.69,53.2
0136.png,OK,nenhum,3385,1793,L,483363,234.69,53.2
0137.png,OK,nenhum,3385,1793,L,539620,234.28,53.7
0138.png,OK,nenhum,3385,1793,L,539620,234.28,53.7
0139.png,OK,nenhum,3385,1793,L,518725,233.76,54.49
0140.png,OK,nenhum,3385,1793,L,524712,233.66,54.63
0141.png,OK,nenhum,3385,1793,L,490986,234.36,53.63
0142.png,OK,nenhum,3385,1793,L,518017,233.97,54.14
0143.png,OK,nenhum,3385,1793,L,460305,234.77,53.0
0144.png,OK,nenhum,3385,1793,L,504827,234.41,53.6
0145.png,OK,nenhum,3385,1793,L,504827,234.41,53.6
0146.png,OK,nenhum,3385,1793,L,504486,234.39,53.55
0147.png,OK,nenhum,3385,1793,L,453043,235.1,52.52
0148.png,OK,nenhum,3385,1793,L,453043,235.1,52.52
0149.png,OK,nenhum,3385,1793,L,488441,234.58,53.29
0150.png,OK,nenhum,3385,1793,L,450793,235.04,52.59
0151.png,OK,nenhum,3385,1793,L,536230,234.3,53.68
0152.png,OK,nenhum,3385,1793,L,536230,234.3,53.68
0153.png,OK,nenhum,3385,1793,L,442767,234.99,52.68
0154.png,OK,nenhum,3385,1793,L,501099,233.81,54.45
0155.png,OK,nenhum,3385,1793,L,662514,231.42,57.82
0156.png,OK,nenhum,3385,1793,L,622705,232.14,56.81
0157.png,OK,nenhum,3385,1793,L,662900,231.74,57.29
0158.png,OK,nenhum,3385,1793,L,469127,234.85,52.91
0159.png,OK,nenhum,3385,1793,L,406351,235.31,52.2
0160.png,OK,nenhum,3385,1793,L,406351,235.31,52.2
0161.png,OK,nenhum,3385,1793,L,497057,234.26,53.7
0162.png,OK,nenhum,3385,1793,L,497048,234.24,53.79
0163.png,OK,nenhum,3385,1793,L,480699,234.71,53.11
0164.png,OK,nenhum,3385,1793,L,586609,233.58,54.63
0165.png,OK,nenhum,3385,1793,L,562009,234.02,54.05
0166.png,OK,nenhum,3385,1793,L,484372,234.79,52.94
0167.png,OK,nenhum,3385,1793,L,483042,234.77,52.97
0168.png,OK,nenhum,3385,1793,L,615575,232.37,56.45
0169.png,OK,nenhum,3385,1793,L,615575,232.37,56.45
0170.png,OK,nenhum,3385,1793,L,615575,232.37,56.45
0171.png,OK,nenhum,3385,1793,L,532641,233.97,54.22
0172.png,OK,nenhum,3385,1793,L,532641,233.97,54.22
0173.png,OK,nenhum,3385,1793,L,638142,232.93,55.62
0174.png,OK,nenhum,3385,1793,L,583737,233.71,54.51
0175.png,OK,nenhum,3385,1793,L,583737,233.71,54.51
0176.png,OK,nenhum,3385,1793,L,550816,233.97,54.14
0177.png,OK,nenhum,3385,1793,L,550816,233.97,54.14
0178.png,OK,nenhum,3385,1793,L,538274,234.13,53.93
0179.png,OK,nenhum,3385,1793,L,554312,233.84,54.42
0180.png,OK,nenhum,3385,1793,L,591889,233.46,54.87
0181.png,OK,nenhum,3385,1793,L,595485,233.07,55.48
0182.png,OK,nenhum,3385,1793,L,517305,234.53,53.45
0183.png,OK,nenhum,3385,1793,L,526256,234.19,53.85
0184.png,OK,nenhum,3385,1793,L,478059,234.84,52.94
0185.png,OK,nenhum,3385,1793,L,443297,235.18,52.4
0186.png,OK,nenhum,3385,1793,L,443297,235.18,52.4
0187.png,OK,nenhum,3385,1793,L,561929,233.51,54.82
0188.png,OK,nenhum,3385,1793,L,452463,235.01,52.67
0189.png,OK,nenhum,3385,1793,L,523339,234.37,53.6
0190.png,OK,nenhum,3385,1793,L,523339,234.37,53.6
0191.png,OK,nenhum,3385,1793,L,496112,234.72,53.12
0192.png,OK,nenhum,3385,1793,L,540954,233.8,54.45
0193.png,OK,nenhum,3385,1793,L,472940,234.39,53.56
0194.png,OK,nenhum,3385,1793,L,492203,233.85,54.39
0195.png,OK,nenhum,3385,1793,L,517116,234.19,53.83
0196.png,OK,nenhum,3385,1793,L,603086,232.77,56.18
0197.png,OK,nenhum,3385,1793,L,452310,234.91,52.82
0198.png,OK,nenhum,3385,1793,L,514370,234.6,53.25
0199.png,OK,nenhum,3385,1793,L,539558,233.86,54.35
0200.png,OK,nenhum,3385,1793,L,494651,234.61,53.25
0201.png,OK,nenhum,3385,1793,L,422907,235.54,51.85
0202.png,OK,nenhum,3385,1793,L,541759,233.85,54.31
0203.png,OK,nenhum,3385,1793,L,490418,234.3,53.69
0204.png,OK,nenhum,3385,1793,L,540038,233.91,54.27
0205.png,OK,nenhum,3385,1793,L,469975,234.76,53.02
0206.png,OK,nenhum,3385,1793,L,477641,234.53,53.4
0207.png,OK,nenhum,3385,1793,L,485712,234.29,53.72
0208.png,OK,nenhum,3385,1793,L,485712,234.29,53.72
0209.png,OK,nenhum,3385,1793,L,565057,233.24,55.24
0210.png,OK,nenhum,3385,1793,L,527752,234.53,53.31
0211.png,OK,nenhum,3385,1793,L,617280,233.37,54.93
0212.png,OK,nenhum,3385,1793,L,461385,234.98,52.72
0213.png,OK,nenhum,3385,1793,L,544973,234.1,53.97
0214.png,OK,nenhum,3385,1793,L,525898,233.78,54.43
0215.png,OK,nenhum,3385,1793,L,544507,233.88,54.28
0216.png,OK,nenhum,3385,1793,L,495192,234.25,53.77
0217.png,OK,nenhum,3385,1793,L,559726,233.91,54.23
0218.png,OK,nenhum,3385,1793,L,559726,233.91,54.23
0219.png,OK,nenhum,3385,1793,L,561822,232.99,55.62
0220.png,OK,nenhum,3385,1793,L,549291,233.32,55.15
0221.png,OK,nenhum,3385,1793,L,601138,232.15,56.86
0222.png,OK,nenhum,3385,1793,L,557214,233.01,55.7
0223.png,OK,nenhum,3385,1793,L,465270,234.73,53.07
0224.png,OK,nenhum,3385,1793,L,553955,233.58,54.76
0225.png,OK,nenhum,3385,1793,L,553955,233.58,54.76
0226.png,OK,nenhum,3385,1793,L,633237,232.28,56.6
0227.png,OK,nenhum,3385,1793,L,563868,233.31,55.16
0228.png,OK,nenhum,3385,1793,L,566992,233.82,54.35
0229.png,OK,nenhum,3385,1793,L,553278,233.44,54.94
0230.png,OK,nenhum,3385,1793,L,592363,232.38,56.49
0231.png,OK,nenhum,3385,1793,L,489758,234.42,53.67
0232.png,OK,nenhum,3385,1793,L,516361,234.14,53.97
0233.png,OK,nenhum,3385,1793,L,516361,234.14,53.97
0234.png,OK,nenhum,3385,1793,L,516361,234.14,53.97
0235.png,OK,nenhum,3385,1793,L,520357,234.45,53.43
0236.png,OK,nenhum,3385,1793,L,454824,235.0,52.67
0237.png,OK,nenhum,3385,1793,L,454824,235.0,52.67
0238.png,OK,nenhum,3385,1793,L,450620,235.02,52.65
0239.png,OK,nenhum,3385,1793,L,770551,227.57,62.77
0240.png,OK,nenhum,3385,1793,L,770551,227.57,62.77
0241.png,OK,nenhum,3385,1793,L,505857,234.25,53.79
0242.png,OK,nenhum,3385,1793,L,609498,232.92,55.56
0243.png,OK,nenhum,3385,1793,L,546715,233.78,54.48
0244.png,OK,nenhum,3385,1793,L,473115,234.72,53.01
0245.png,OK,nenhum,3385,1793,L,460809,234.87,52.84
0246.png,OK,nenhum,3385,1793,L,553499,233.94,54.17
0247.png,OK,nenhum,3385,1793,L,518932,234.09,53.91
0248.png,OK,nenhum,3385,1793,L,569139,233.59,54.76
0249.png,OK,nenhum,3385,1793,L,515970,234.23,53.83
0250.png,OK,nenhum,3385,1793,L,573629,233.14,55.32
0251.png,OK,nenhum,3385,1793,L,578466,233.38,54.97
0252.png,OK,nenhum,3385,1793,L,578466,233.38,54.97
0253.png,OK,nenhum,3385,1793,L,516702,234.18,53.85
0254.png,OK,nenhum,3385,1793,L,546987,233.71,54.65
0255.png,OK,nenhum,3385,1793,L,533452,234.01,54.11
0256.png,OK,nenhum,3385,1793,L,581016,233.38,54.93
0257.png,OK,nenhum,3385,1793,L,480522,234.82,52.91
0258.png,OK,nenhum,3385,1793,L,453492,235.28,52.22
0259.png,OK,nenhum,3385,1793,L,553463,233.86,54.33
0260.png,OK,nenhum,3385,1793,L,459088,234.86,52.92
0261.png,OK,nenhum,3385,1793,L,453489,234.95,52.8
0262.png,OK,nenhum,3385,1793,L,448243,235.05,52.6
0263.png,OK,nenhum,3385,1793,L,445549,235.1,52.55
0264.png,OK,nenhum,3385,1793,L,490079,234.31,53.71
0265.png,OK,nenhum,3385,1793,L,447268,234.99,52.72
0266.png,OK,nenhum,3385,1793,L,535534,234.2,53.79
0267.png,OK,nenhum,3385,1793,L,595416,233.26,55.18
0268.png,OK,nenhum,3385,1793,L,595416,233.26,55.18
0269.png,OK,nenhum,3385,1793,L,564378,233.67,54.59
0270.png,OK,nenhum,3385,1793,L,545067,234.0,54.14
0271.png,OK,nenhum,3385,1793,L,545067,234.0,54.14
0272.png,OK,nenhum,3385,1793,L,548314,234.07,54.02
0273.png,OK,nenhum,3385,1793,L,547003,233.82,54.41
0274.png,OK,nenhum,3385,1793,L,490127,234.35,53.62
0275.png,OK,nenhum,3385,1793,L,595416,233.26,55.18
0276.png,OK,nenhum,3385,1793,L,548314,234.07,54.02
0277.png,OK,nenhum,3385,1793,L,410789,235.29,52.23
0278.png,OK,nenhum,3385,1793,L,630338,232.58,56.1
0279.png,OK,nenhum,3385,1793,L,630338,232.58,56.1
0280.png,OK,nenhum,3385,1793,L,501412,234.68,53.08
0281.png,OK,nenhum,3385,1793,L,570034,233.93,54.24
0282.png,OK,nenhum,3385,1793,L,585396,233.78,54.38
0283.png,OK,nenhum,3385,1793,L,465468,234.94,52.75
0284.png,OK,nenhum,3385,1793,L,470333,234.71,53.09
0285.png,OK,nenhum,3385,1793,L,736911,231.36,57.56
0286.png,OK,nenhum,3385,1793,L,736911,231.36,57.56
0287.png,OK,nenhum,3385,1793,L,475348,234.69,53.14
0288.png,OK,nenhum,3385,1793,L,475348,234.69,53.14
0289.png,OK,nenhum,3385,1793,L,474731,235.04,52.62
0290.png,OK,nenhum,3385,1793,L,571385,233.51,54.84
0291.png,OK,nenhum,3385,1793,L,572390,233.66,54.56
0292.png,OK,nenhum,3385,1793,L,614918,232.49,56.26
0293.png,OK,nenhum,3385,1793,L,531455,234.19,53.91
0294.png,OK,nenhum,3385,1793,L,493105,234.95,52.74
0295.png,OK,nenhum,3385,1793,L,530168,234.14,53.87
0296.png,OK,nenhum,3385,1793,L,416721,235.49,51.93
0297.png,OK,nenhum,3385,1793,L,448086,235.05,52.62
0299.png,OK,nenhum,3385,1793,L,477347,234.8,52.94
0300.png,OK,nenhum,3385,1793,L,564121,233.69,54.61
0301.png,OK,nenhum,3385,1793,L,457271,235.12,52.51
0302.png,OK,nenhum,3385,1793,L,541528,233.96,54.2
0303.png,OK,nenhum,3385,1793,L,541528,233.96,54.2
0304.png,OK,nenhum,3385,1793,L,488079,234.28,53.73
0305.png,OK,nenhum,3385,1793,L,488079,234.28,53.73
0306.png,OK,nenhum,3385,1793,L,499304,234.14,53.98
0307.png,OK,nenhum,3385,1793,L,523166,234.15,53.9
0308.png,OK,nenhum,3385,1793,L,423205,235.14,52.45
0309.png,OK,nenhum,3385,1793,L,431480,234.97,52.74
0310.png,OK,nenhum,3385,1793,L,507837,234.37,53.65
0311.png,OK,nenhum,3385,1793,L,488197,234.52,53.43
0312.png,OK,nenhum,3385,1793,L,519073,234.18,53.92
0313.png,OK,nenhum,3385,1793,L,510220,234.33,53.67
0314.png,OK,nenhum,3385,1793,L,562781,233.77,54.51
0315.png,OK,nenhum,3385,1793,L,540035,234.06,54.07
0316.png,OK,nenhum,3385,1793,L,713230,231.49,57.45
0317.png,OK,nenhum,3385,1793,L,541494,233.93,54.2
0318.png,OK,nenhum,3385,1793,L,462912,234.89,52.8
0319.png,OK,nenhum,3385,1793,L,502936,234.52,53.36
0320.png,OK,nenhum,3385,1793,L,499605,234.71,53.09
0321.png,OK,nenhum,3385,1793,L,501351,234.34,53.62
0322.png,OK,nenhum,3385,1793,L,476080,234.4,53.57
0323.png,OK,nenhum,3385,1793,L,615575,232.37,56.45
0324.png,OK,nenhum,3385,1793,L,446329,234.93,52.74
0325.png,OK,nenhum,3385,1793,L,451100,234.98,52.69
0326.png,OK,nenhum,3385,1793,L,511906,234.46,53.41
0327.png,OK,nenhum,3385,1793,L,507229,234.22,53.81
0328.png,OK,nenhum,3385,1793,L,476640,234.58,53.3
0329.png,OK,nenhum,3385,1793,L,453614,235.01,52.64
0330.png,OK,nenhum,3385,1793,L,461458,234.78,52.96
0331.png,OK,nenhum,3385,1793,L,466606,234.8,52.93
0332.png,OK,nenhum,3385,1793,L,466606,234.8,52.93
0333.png,OK,nenhum,3385,1793,L,515962,234.23,53.74
0334.png,OK,nenhum,3385,1793,L,502125,234.24,53.74
0335.png,OK,nenhum,3385,1793,L,563662,233.51,54.78
0336.png,OK,nenhum,3385,1793,L,522923,233.99,54.11
0337.png,OK,nenhum,3385,1793,L,513020,234.15,53.88
0339.png,OK,nenhum,3385,1793,L,732443,230.76,58.44
0341.png,OK,nenhum,3385,1793,L,742695,230.35,59.01
0342.png,OK,nenhum,3385,1793,L,561709,233.4,54.99
0343.png,OK,nenhum,3385,1793,L,457204,235.0,52.67
0344.png,OK,nenhum,3385,1793,L,482391,234.87,52.86
0345.png,OK,nenhum,3385,1793,L,539135,234.02,54.11
0346.png,OK,nenhum,3385,1793,L,513756,233.93,54.19
0347.png,OK,nenhum,3385,1793,L,640176,231.47,57.78
0348.png,OK,nenhum,3385,1793,L,482745,234.58,53.3
0349.png,OK,nenhum,3385,1793,L,466316,234.8,52.97
0350.png,OK,nenhum,3385,1793,L,492512,234.51,53.41
0351.png,OK,nenhum,3385,1793,L,438641,235.07,52.56
0352.png,OK,nenhum,3385,1793,L,555604,233.61,54.66
0353.png,OK,nenhum,3385,1793,L,497949,234.39,53.52
0354.png,OK,nenhum,3385,1793,L,484667,234.29,53.66
0355.png,OK,nenhum,3385,1793,L,482866,234.62,53.25
0356.png,OK,nenhum,3385,1793,L,497042,234.35,53.61
0357.png,OK,nenhum,3385,1793,L,608242,232.55,56.11
0358.png,OK,nenhum,3385,1793,L,499957,234.51,53.39
0359.png,OK,nenhum,3385,1793,L,528436,234.17,53.9
0360.png,OK,nenhum,3385,1793,L,440830,234.94,52.78
0361.png,OK,nenhum,3385,1793,L,503372,234.19,53.83
0362.png,OK,nenhum,3385,1793,L,523615,234.04,54.04
0363.png,OK,nenhum,3385,1793,L,488983,234.69,53.15
0364.png,OK,nenhum,3385,1793,L,590865,233.24,55.24
0365.png,OK,nenhum,3385,1793,L,512122,234.25,53.73
0366.png,OK,nenhum,3385,1793,L,578707,233.38,55.01
0367.png,OK,nenhum,3385,1793,L,459424,234.85,52.85
0368.png,OK,nenhum,3385,1793,L,509465,234.37,53.62
0369.png,OK,nenhum,3385,1793,L,509465,234.37,53.62
0370.png,OK,nenhum,3385,1793,L,582274,232.75,55.93
0371.png,OK,nenhum,3385,1793,L,538379,233.49,54.89
0372.png,OK,nenhum,3385,1793,L,568976,233.08,55.45
0373.png,OK,nenhum,3385,1793,L,471558,234.62,53.22
0374.png,OK,nenhum,3385,1793,L,462168,235.13,52.45
0375.png,OK,nenhum,3385,1793,L,539093,234.2,53.8
0376.png,OK,nenhum,3385,1793,L,503707,234.54,53.37
0378.png,OK,nenhum,3385,1793,L,503707,234.54,53.37
0379.png,OK,nenhum,3385,1793,L,427782,235.43,52.0
0381.png,OK,nenhum,3385,1793,L,427289,235.3,52.24
0382.png,OK,nenhum,3385,1793,L,427289,235.3,52.24
0383.png,OK,nenhum,3385,1793,L,500739,234.38,53.58
0384.png,OK,nenhum,3385,1793,L,530658,234.01,54.09
0385.png,OK,nenhum,3385,1793,L,581883,233.05,55.71
0386.png,OK,nenhum,3385,1793,L,558958,233.69,54.56
0387.png,OK,nenhum,3385,1793,L,555174,233.87,54.33
0388.png,OK,nenhum,3385,1793,L,539382,233.4,54.97
0389.png,OK,nenhum,3385,1793,L,464483,234.62,53.26
0390.png,OK,nenhum,3385,1793,L,524856,233.57,54.75
0391.png,OK,nenhum,3385,1793,L,633018,232.56,56.06
0392.png,OK,nenhum,3385,1793,L,633018,232.56,56.06
0393.png,OK,nenhum,3385,1793,L,611189,232.52,56.11
0394.png,OK,nenhum,3385,1793,L,600447,232.75,55.83
0395.png,OK,nenhum,3385,1793,L,611189,232.52,56.11
0396.png,OK,nenhum,3385,1793,L,526949,234.03,54.1
0397.png,OK,nenhum,3385,1793,L,559762,233.6,54.71
0398.png,OK,nenhum,3385,1793,L,583283,233.16,55.37
0399.png,OK,nenhum,3385,1793,L,585918,233.12,55.4
0400.png,OK,nenhum,3385,1793,L,585918,233.12,55.4
0401.png,OK,nenhum,3385,1793,L,547090,233.28,55.18
0402.png,OK,nenhum,3385,1793,L,558577,233.49,54.86
0403.png,OK,nenhum,3385,1793,L,544586,233.85,54.38
0404.png,OK,nenhum,3385,1793,L,513228,234.45,53.48
0405.png,OK,nenhum,3385,1793,L,554591,233.61,54.7
0406.png,OK,nenhum,3385,1793,L,554591,233.61,54.7
0407.png,OK,nenhum,3385,1793,L,453496,234.88,52.83
0408.png,OK,nenhum,3385,1793,L,538885,233.79,54.43
0409.png,OK,nenhum,3385,1793,L,552352,233.54,54.82
0410.png,OK,nenhum,3385,1793,L,562398,233.36,55.1
0411.png,OK,nenhum,3385,1793,L,475582,234.67,53.11
0412.png,OK,nenhum,3385,1793,L,573484,233.66,54.59
0413.png,OK,nenhum,3385,1793,L,573484,233.66,54.59
0414.png,OK,nenhum,3385,1793,L,505631,234.53,53.38
0415.png,OK,nenhum,3385,1793,L,506830,234.48,53.44
0416.png,OK,nenhum,3385,1793,L,506830,234.48,53.44
0417.png,OK,nenhum,3385,1793,L,501339,234.53,53.37
0418.png,OK,nenhum,3385,1793,L,514197,234.4,53.57
0419.png,OK,nenhum,3385,1793,L,540507,234.09,54.0
0420.png,OK,nenhum,3385,1793,L,501975,234.42,53.55
0421.png,OK,nenhum,3385,1793,L,496823,234.71,53.11
0422.png,OK,nenhum,3385,1793,L,542533,233.99,54.15
0423.png,OK,nenhum,3385,1793,L,498128,234.56,53.31
0424.png,OK,nenhum,3385,1793,L,498128,234.56,53.31
0425.png,OK,nenhum,3385,1793,L,652821,231.25,57.99
0426.png,OK,nenhum,3385,1793,L,656552,231.2,58.17
0427.png,OK,nenhum,3385,1793,L,608986,232.8,55.78
0428.png,OK,nenhum,3385,1793,L,528115,233.9,54.3
0429.png,OK,nenhum,3385,1793,L,521073,234.1,53.97
0430.png,OK,nenhum,3385,1793,L,543980,234.01,54.11
0431.png,OK,nenhum,3385,1793,L,461919,234.9,52.78
0432.png,OK,nenhum,3385,1793,L,453759,234.76,53.03
0433.png,OK,nenhum,3385,1793,L,483588,234.69,53.1
0434.png,OK,nenhum,3385,1793,L,512799,233.94,54.21
0435.png,OK,nenhum,3385,1793,L,589213,233.17,55.31
0436.png,OK,nenhum,3385,1793,L,610598,232.57,56.15
0437.png,OK,nenhum,3385,1793,L,602013,232.75,55.88
0439.png,OK,nenhum,3385,1793,L,701672,231.41,57.62
0440.png,OK,nenhum,3385,1793,L,701672,231.41,57.62
0441.png,OK,nenhum,3385,1793,L,602796,233.24,55.17
0442.png,OK,nenhum,3385,1793,L,518183,234.2,53.86
